adr;uhaH aps;u
sv;am p;ayaH
gAtuv;it dev;AnAm
v;aneSu h;otuH
kqZuTa zl;okam
ca yuv;oH
hav;IMSi im;am
tvA s;uSutasya
k;im aVg;a
v;iprAH priy;am
n;a ;arvA
putr;aH s;icam
yajY;e asm;in
sun;avAma s;omam
aj;araH v;aneSu
p;ari kSit;IH
v;asvIBiH asya
t;uByam sv;asarAZi
viveza r;odasI
agn;im h;otAram
dev;AnAm ;amqktaH
vay;am mitr;asya
AhuH ;anu
s;a u
bqhat;aH supraZIte
duhit;A ca
agn;iH rocate
r;odasI B;UrivarpasA
v;izvA aB;i
ant;ar mat;iH
h;otar cikitvaH
vr;ajantIH p;ari
agne mandr;aH
ant;ar ant;arvatIH
s;am AnazuH
boDi asm;e
m;AkiH et;at
satyav;AcaH n;araH
;aTa D;armAZi
sas;asya c;arma
kqt;Ani zun;am
g;oBiH mimikS;um
vaH dev;Aya
yajY;am pr;a
sIm ;anadatIH
vqtrah;aZA huve
zazvattam;am h;avamAnAya
v;arivaH cakAra
dy;avi agn;im
arv;AV ;upa
;it indra
;Apyam ;upa
raZv;asaMdqk qt;AvarI
saMvidAn;e samAny;A
v;AryAZi div;e-dive
te y;oniH
agn;iH net;A
s;amidDaH stot;uH
niy;utvAn kSap;Am
Ky;an viSkaBn;antaH
yAti sady;aH
v;ahAtaH h;arI
vakS;aZAH pqZ;aDvam
naH indra
johavIti saj;oSO
mahn;A v;arivaH
pratim;Anam puroB;UH
B;arati kS;eti
yajY;am am;qteSu
;amartyaH pur;astAt
sT;avirasya G;qSveH
dev;IH ;adevam
s;a yoD;aya
agne pram;qSe
ajury;am sasarpar;IH
sukrato r;arAZaH
ay;am asm;An
agne avit;A
h;aryazvasya yajY;EH
g;qtsAya cit
qt;AvarI qt;ajAtasya
duhit;uH s;ekam
uz;ijaH yaviSWa
jAt;aH jAyate
t;at naH
sv;asarAZi yemire
ca m;aDUni
rAt;iBiH v;asuBiH
;agan indra
jarit;uH s;acA
n;avaH sAhv;An
barh;iH sIda
mah;e vidaTy:Aya
ha dy;AvApqTiv;I
v;are ;A
g;AvO BavatAm
m;anuSaH pur;ohitaH
mAd;ayante s;acA
BUt;AnAm g;arBam
n;i duroZ;e
y;e y;AH
dehi sahasr;iZam
tir;oahnyam ;asti
te mahitv;am
samiT;e z;UrasAtO
miy;eDaH yajY;ena
v;i roha
qBavaH vIry:AZi
asm;e t;at
s;UryaH n;akSatrEH
ha jAt;aH
d;Evyena y;at
dev;asya sAnas;i
prad;ivaH v;idAnAH
v;i adyOt
;indra marutvaH
iDyate vEzvAnar;aH
agn;im vipazc;itam
sPigy:A kS;Am
v;andanAni kuv;it
sv;e ulok;e
purox;Azam jAtavedaH
agn;iH iDyate
vAj;ayantI ;agne
te div;i
y;e g;aviSwO
kqZvantu aDvar;asya
zazay;am duduhre
jarit;uH vav;akSa
agn;im uS;asam
j;Agqvim ;agne
;agne havy;Aya
cakqma ;A
;aMhasaH y;atra
im;Am jaj;Ana
UrDv;AH Bavanti
Cadayati tv;Am
qBavaH s;am
Gqt;avat juhota
indra ;A
k;AniSaH purox;Azam
;anUnAH vavr;Aja
g;iraH t;asmin
me pit;arA
jagmuH aB;i
camas;An ;apiMzata
mqDyAH ;ut
hav;iSmadBiH manuSy:eBiH
asya savit;uH
g;arBaH m;ahi
y;at div;aH
jigAti gAtuv;it
g;iraH indra
van;A tv;am
dy;AvApqTiv;I ;A
vqD;e viB;AvA
v;Ajam qgm;iyam
n;Ama y;at
iva prav;atA
;ixA mah;at
g;avAziram manT;inam
vahati zuBr;ayAmA
;avasAnAH ;anagnAH
ajIgar suy;uk
vA kez;inA
iSw;avratAH akar
r;atnavantam am;qteSu
sut;asya t;ava
yAhi bahul;AH
asm;aByam puruD;A
urv;I yajY;aM-yajYam
;arcan s;aKA
maGavan dAz;uSaH
zruSw;I dev;am
s;omam harya
;aTa yajAte
sv;aDitim n;a
t;asya vrat;Ani
;ut astamBIt
carSaZIn;Am vizv;arUpam
sub;anDuH jan;uSA
v;iSZum st;omAsaH
;aDa n;u
cakre v;areZyaH
bruvAte miTun;Ani
jan;ayanta v;ahnim
div;aH zazAsuH
kav;im ;advayantam
samAn;aH r;AjA
n;a vIr;AH
Avat ;anDasaH
sv:ar j;anantI
arocayat m;anave
kiMy;uH v;ipraH
div;aH cit
aBavaH ket;uH
mar;utaH vizv;avedasaH
Asate dr;aviZam
BAn;um v;i
ca vqtrahan
v;izvA B;uvanA
purUc;IH Iy;uH
pUrv;IH ;A
n;apAtaH ap;asaH
vAGataH s;ODanvanAH
vAj;inam bqh;at
jaGanv;An ;atyAn
y;at saMgqBZ;AH
j;arasva svapaty;e
n;a v;AjasAtaye
adroG;eZa v;acasA
Urj;A pinvasva
v;qSaZam tvA
ut;a kSatr;Aya
syAma ay;am
s;avaneSu naH
mat;ayaH st;omataSwAH
p;atim st;omataSwA
pr;atijUtivarpasaH s;ODanvanAH
p;arSi ca
s;aKiBiH ziv;eBiH
;it n;amasA
;A kqSw;ayaH
sar;amA rugZ;am
cikituH n;a
gqZ;antaH namasy;AmaH
viB;AvasuH kr;atvA
m;Ahine h;aryamAZaH
