tisr;aH dev;IH barh;iH ;A
sv;AhA dev;AH am;qtAH mAdayantAm
t;e naH rAsantAm urugAy;am
m;anoH y;ajatrAH am;qtAH qtajY;AH
pqTiv;I naH p;ArTivAt pAtu
m;A naH duHz;aMsaH Izata
t;AH asm;aByam p;ayasA p;invamAnAH
naH rAsantAm urugAy;am ady;a
ady;a yUy;am pAta svast;iBiH
;indraH v;aruZaH mitr;aH aryam;A
dev;IH barh;iH ;A id;am
urugAy;am ady;a yUy;am pAta
;aTa dev;AH daDire havyav;Aham
z;am naH Bava dvip;ade
te santu saKy;A ziv;Ani
naH Bava dvip;ade z;am
v;izvasya sTAt;uH j;agataH ca
pAta svast;iBiH s;adA naH
t;e h;i yajY;eSu yajY;iyAsaH
n;a t;am ;aMhaH n;a
;upa naH mAhi v;AjAn
pAtu ;aMhasaH ant;arikSam divy;At
Bava dvip;ade z;am c;atuSpade
g;ojAtAH ut;a y;e yajY;iyAsaH
m;arteSu agn;iH am;qtaH n;i
naH p;ArTivAt pAtu ;aMhasaH
;aMhasaH ant;arikSam divy;At pAtu
y;asmin v;izvAni B;uvanAni tasT;uH
p;ArTivAt pAtu ;aMhasaH ant;arikSam
yUy;am pAta svast;iBiH s;adA
agn;iH am;qtaH n;i DAyi
h;i yajY;eSu yajY;iyAsaH ;UmAH
ant;arikSam divy;At pAtu asm;An
y;at vaH ;AgaH puruS;atA
svast;iBiH s;adA naH ay;am
s;a ;it u h;otA
s;am y;aH v;anA yuv;ate
Adity;An dy;AvApqTiv;I ap;aH sv:ar
rAsantAm urugAy;am ady;a yUy;am
vaH ;AgaH puruS;atA k;arAma
asm;e te santu saKy;A
